[0, 358.26453012647454, 'Right', 456.7272403429935, 44.587662, -123.256691]
[88, 266.9160344906167, 'Right', 146.46184786930738, 44.587414, -123.262405]
[704, 104.75185806350211, 'Left', 2394.093458683957, 44.61269, -123.262413]
[1260, 245.4754160517721, 'Right', 216.25143490177248, 44.6287189, -123.272301]
[1292, 66.92759392758174, 'Left', 9.500142742512022, 44.628769, -123.269577]
[1294, 56.59644997407007, 'Left', 205.97615054474602, 44.628819, -123.269485]
[2404, 317.95164277803315, 'Right', 6330.623028383373, 44.644211, -123.30864]
[3731, 74.05099368671026, 'Left', 4190.601076305995, 44.685398, -123.239838]
[5315, 248.92839667972407, 'Right', 2391.480418994455, 44.736004, -123.308044]
[6552, 109.61206540863779, 'Left', 216.27355953205532, 44.744095, -123.223183]
[8829, 118.75058073858762, 'Left', 87.93998540426483, 44.845882, -123.235001]
[8850, 241.20572408426625, 'Right', 247.92559046010172, 44.845913, -123.2351]
[8919, 94.42471457211295, 'Left', 10.532415045130683, 44.848557, -123.235786]
[8923, 97.03783459940502, 'Left', 45.28088598882555, 44.848629, -123.235855]
[8959, 266.78987604882866, 'Right', 399.9073387837657, 44.848629, -123.237274]
[9283, 271.4118573865038, 'Right', 2875.9935582171097, 44.864517, -123.238258]
[10004, 269.90908356314185, 'Right', 54.25182462076059, 44.860512, -123.184738]
[10193, 288.8871710491837, 'Right', 562.331208236146, 44.851925, -123.184448]
[10362, 98.28969437111492, 'Left', 606.130029870176, 44.845787, -123.184593]
[10511, 285.10186472771875, 'Right', 5466.442365398652, 44.845085, -123.175125]
[12123, 310.0038315600789, 'Right', 1590.9367360970184, 44.816483, -123.079819]
[12606, 282.04080801701, 'Right', 122.47716500235973, 44.796158, -123.084442]
[13911, 97.09419757160879, 'Left', 25.14123131515914, 44.769421, -123.150604]
[14027, 112.21989192671379, 'Left', 20.993048061226517, 44.768288, -123.153877]
[15124, 267.7488313750198, 'Right', 563.6547494370383, 44.711224, -123.163246]
[16437, 15.469853716231068, 'Left', 124.8495391959465, 44.646519, -123.182991]
[16463, 92.1774977923406, 'Left', 4346.511170330339, 44.646999, -123.182983]
[17310, 257.6325293636145, 'Right', 308.636621116449, 44.629044, -123.22979]
[17443, 100.3597011955315, 'Left', 272.98008952320913, 44.628841, -123.240166]
[17513, 98.66641444100947, 'Left', 84.65959676753772, 44.628883, -123.240303]
[17548, 108.05670247069745, 'Left', 1919.6613849397768, 44.629036, -123.241325]
[18317, 97.59394047812162, 'Left', 229.37914938788265, 44.588749, -123.262474]
